Name,Owner,Modulo,Tipo
BENEFICIARIO,PROD_DGCP,CONCERTACIONES,TABLA
BENEFICIARIO_TRAMO,PROD_DGCP,CONCERTACIONES,TABLA
BENEFICIARIO_TRAMO_EJECUTORA,PROD_DGCP,CONCERTACIONES,TABLA
BONOS_DENOMINACION,PROD_DGCP,CONCERTACIONES,TABLA
CREDITO_PROC_APROB_REQU,PROD_DGCP,CONCERTACIONES,TABLA
CREDITO_PROC_APROBACION,PROD_DGCP,CONCERTACIONES,TABLA
CREDITOS,PROD_DGCP,CONCERTACIONES,TABLA
CREDITOS_NOTAS,PROD_DGCP,CONCERTACIONES,TABLA
ENTIDADES,PROD_DGCP,CONCERTACIONES,TABLA
GRUPO_FINANCIERO,PROD_DGCP,CONCERTACIONES,TABLA
MONEDA,PROD_DGCP,CONCERTACIONES,TABLA
PARTICIPACION,PROD_DGCP,CONCERTACIONES,TABLA
PARTICIPANTES,PROD_DGCP,CONCERTACIONES,TABLA
PLIEGO_DNEP,PROD_DGCP,CONCERTACIONES,TABLA
SECUENCIA_CLAVE,PROD_DGCP,CONCERTACIONES,TABLA
TIPO_DEUDA,PROD_DGCP,CONCERTACIONES,TABLA
TIPO_EMPRESA,PROD_DGCP,CONCERTACIONES,TABLA
TRAMO,PROD_DGCP,CONCERTACIONES,TABLA
TRAMO_CANCELACION,PROD_DGCP,CONCERTACIONES,TABLA
TRAMO_DESEMBOLSO,PROD_DGCP,CONCERTACIONES,TABLA
ACUERDO_FINANCIERO,PROD_DGCP,DESEMBOLSOS,TABLA
ACUERDO_FINANCIERO_DETALLE,PROD_DGCP,DESEMBOLSOS,TABLA
CREDITO_SECTORISTA,PROD_DGCP,DESEMBOLSOS,TABLA
CREDITOS,PROD_DGCP,DESEMBOLSOS,TABLA
DESEMBOLSO,PROD_DGCP,DESEMBOLSOS,TABLA
DESEMBOLSO_METAS_ANU,PROD_DGCP,DESEMBOLSOS,TABLA
DESEMBOLSO_TRAMITE,PROD_DGCP,DESEMBOLSOS,TABLA
ENLACE_OPERACION_TRASLADO,PROD_DGCP,DESEMBOLSOS,TABLA
ENLACE_TRASLADO_CALENDARIO,PROD_DGCP,DESEMBOLSOS,TABLA
ENLACE_TRASLADO_REGULARIZ,PROD_DGCP,DESEMBOLSOS,TABLA
ENTIDADES,PROD_DGCP,DESEMBOLSOS,TABLA
GRUPO_FINANCIERO,PROD_DGCP,DESEMBOLSOS,TABLA
MONEDA,PROD_DGCP,DESEMBOLSOS,TABLA
SECUENCIA_FALTANTE,PROD_DGCP,DESEMBOLSOS,TABLA
TIPO_DEUDA,PROD_DGCP,DESEMBOLSOS,TABLA
TIPO_EMPRESA,PROD_DGCP,DESEMBOLSOS,TABLA
TO_INTF_SIAD_SIAF,PROD_DGCP,DESEMBOLSOS,TABLA
TRAMO,PROD_DGCP,DESEMBOLSOS,TABLA
TRAMO_CANCELACION_ENTRAMITE,PROD_DGCP,DESEMBOLSOS,TABLA
TRAMO_DESEMBOLSO,PROD_DGCP,DESEMBOLSOS,TABLA
ACUERDO_ESPECIAL,PROD_DGCP,OPERACIONES,TABLA
ACUERDO_ESPECIAL_DETALLE,PROD_DGCP,OPERACIONES,TABLA
ACUERDO_FINANC_RELACION_VENC,PROD_DGCP,OPERACIONES,TABLA
ACUERDO_FINANCIERO,PROD_DGCP,OPERACIONES,TABLA
ACUERDO_FINANCIERO_DETALLE,PROD_DGCP,OPERACIONES,TABLA
ACUERDO_FINANCIERO_FECHAS,PROD_DGCP,OPERACIONES,TABLA
ACUERDO_FINANCIERO_RELACION,PROD_DGCP,OPERACIONES,TABLA
ACUERDO_SERVICIO,PROD_DGCP,OPERACIONES,TABLA
ACUERDO_SERVICIO_DETALLE,PROD_DGCP,OPERACIONES,TABLA
ASUNCION,PROD_DGCP,OPERACIONES,TABLA
ASUNCION_BENEFICIARIO,PROD_DGCP,OPERACIONES,TABLA
ASUNCION_DETALLE,PROD_DGCP,OPERACIONES,TABLA
CAJA_SEMANA,PROD_DGCP,OPERACIONES,TABLA
CALCULA_COMISION,PROD_DGCP,OPERACIONES,TABLA
CALCULA_COMISION_DEVENGADO,PROD_DGCP,OPERACIONES,TABLA
CALCULA_COMISION_WAIVER,PROD_DGCP,OPERACIONES,TABLA
CALCULA_DEVENGADO,PROD_DGCP,OPERACIONES,TABLA
CALCULA_INTERES,PROD_DGCP,OPERACIONES,TABLA
CALCULA_INTERES_DEVENGADO,PROD_DGCP,OPERACIONES,TABLA
CALCULA_INTERES_OTROS,PROD_DGCP,OPERACIONES,TABLA
CALCULA_INTERES_WAIVER,PROD_DGCP,OPERACIONES,TABLA
CALCULA_LETRA,PROD_DGCP,OPERACIONES,TABLA
CALENDARIO_AMORTIZACION,PROD_DGCP,OPERACIONES,TABLA
CALENDARIO_APLICACION,PROD_DGCP,OPERACIONES,TABLA
CALENDARIO_COMISION,PROD_DGCP,OPERACIONES,TABLA
CALENDARIO_COMPROMISOS,PROD_DGCP,OPERACIONES,TABLA
CALENDARIO_GESTION,PROD_DGCP,OPERACIONES,TABLA
CALENDARIO_INTERES,PROD_DGCP,OPERACIONES,TABLA
CALENDARIO_MORA,PROD_DGCP,OPERACIONES,TABLA
COMISION,PROD_DGCP,OPERACIONES,TABLA
CONTROL_CIERRE_ESTADISTICA,PROD_DGCP,OPERACIONES,TABLA
CONTROL_CIERRE_ESTADISTICO,PROD_DGCP,OPERACIONES,TABLA
COSTO_AMORTIZADO,PROD_DGCP,OPERACIONES,TABLA
COSTO_DATOS,PROD_DGCP,OPERACIONES,TABLA
COSTO_FLUJO,PROD_DGCP,OPERACIONES,TABLA
COSTO_TASA,PROD_DGCP,OPERACIONES,TABLA
CREDITOS,PROD_DGCP,OPERACIONES,TABLA
ENTIDADES,PROD_DGCP,OPERACIONES,TABLA
FECHA_CALENDARIO,PROD_DGCP,OPERACIONES,TABLA
GRUPO_FINANCIERO,PROD_DGCP,OPERACIONES,TABLA
HIST_ADEUDADO,PROD_DGCP,OPERACIONES,TABLA
HIST_ADEUDADO_COPIA,PROD_DGCP,OPERACIONES,TABLA
